timestamp,product_id,product_name,category,price,discount_percent,final_price,stock,demand_score,season,day_of_week,time_of_day,competitor_price,user_click_rate,conversion_rate
5/25/2025 21:54,PR0080,Product80,Clothing,375.25,3.61,361.7,423,0.78,Spring,Thursday,Afternoon,410.7,0.157,0.059
5/4/2025 1:34,PR0124,Product124,Toys,373.16,24.62,281.29,144,0.23,Spring,Thursday,Night,400.9,0.094,0.071
5/12/2025 6:19,PR0433,Product433,Electronics,615.35,9.13,559.17,484,0.53,Autumn,Tuesday,Evening,627.88,0.168,0.194
5/5/2025 7:40,PR0456,Product456,Electronics,606.3,1.2,599.02,320,0.83,Summer,Wednesday,Afternoon,656.72,0.029,0.022
5/10/2025 3:28,PR0481,Product481,Clothing,363.98,37.75,226.58,245,0.72,Winter,Wednesday,Night,395.24,0.285,0.016
5/25/2025 4:47,PR0136,Product136,Toys,15.53,24.04,11.8,604,0.38,Autumn,Thursday,Night,16.78,0.086,0.16
5/18/2025 13:17,PR0379,Product379,Electronics,615.6,44.3,342.89,670,0.98,Autumn,Sunday,Evening,597.18,0.044,0.114
5/6/2025 0:25,PR0355,Product355,Electronics,484.14,23.41,370.8,764,0.34,Winter,Sunday,Evening,496.69,0.061,0.174
5/14/2025 2:29,PR0083,Product83,Books,268.4,13.77,231.44,57,0.42,Spring,Saturday,Afternoon,291.18,0.256,0.141
5/15/2025 11:00,PR0266,Product266,Clothing,283.93,42.27,163.91,241,0.8,Autumn,Sunday,Afternoon,284.92,0.268,0.155
5/3/2025 4:09,PR0369,Product369,Toys,563.07,48.08,292.35,720,0.95,Summer,Saturday,Evening,581.46,0.012,0.011
5/18/2025 11:16,PR0461,Product461,Clothing,865.35,16.12,725.86,929,0.66,Winter,Thursday,Night,883.19,0.266,0.083
5/13/2025 11:06,PR0100,Product100,Electronics,44.9,20.38,35.75,78,0.2,Spring,Saturday,Night,41.11,0.292,0.014
4/27/2025 14:44,PR0161,Product161,Books,825.46,35.31,533.99,862,0.45,Spring,Sunday,Morning,822.81,0.018,0.014
5/24/2025 3:55,PR0343,Product343,Books,472.79,11.34,419.18,725,0.63,Spring,Monday,Afternoon,503.21,0.17,0.14
4/29/2025 20:44,PR0165,Product165,Toys,691.94,43.38,391.78,576,0.8,Spring,Sunday,Evening,682.42,0.242,0.17
5/5/2025 19:29,PR0488,Product488,Books,242.78,28.46,173.68,723,0.48,Winter,Thursday,Morning,266.09,0.237,0.093
4/30/2025 16:51,PR0350,Product350,Home & Kitchen,203.63,6.98,189.42,915,0.15,Spring,Monday,Afternoon,183.64,0.067,0.033
5/3/2025 3:22,PR0004,Product4,Clothing,64.73,32.27,43.84,76,0.23,Winter,Tuesday,Morning,64.6,0.062,0.104
5/10/2025 22:41,PR0197,Product197,Clothing,930.91,25.99,688.97,296,0.65,Autumn,Saturday,Evening,855.32,0.193,0.091
5/14/2025 12:20,PR0494,Product494,Electronics,659.6,14.02,567.12,519,0.72,Winter,Sunday,Night,644.32,0.232,0.178
4/28/2025 7:31,PR0136,Product136,Home & Kitchen,200.81,18.66,163.34,97,0.14,Summer,Thursday,Morning,209.96,0.131,0.015
5/9/2025 10:41,PR0391,Product391,Home & Kitchen,486.81,1.89,477.61,211,0.41,Winter,Saturday,Afternoon,441.66,0.054,0.077
4/27/2025 23:19,PR0353,Product353,Clothing,784.6,6.45,733.99,369,0.17,Winter,Wednesday,Morning,821.88,0.128,0.068
5/9/2025 4:49,PR0177,Product177,Home & Kitchen,528.67,1.61,520.16,785,0.82,Summer,Thursday,Night,562,0.292,0.12
5/25/2025 20:57,PR0133,Product133,Books,49.28,32.56,33.23,14,0.87,Spring,Monday,Evening,48.72,0.038,0.197
5/2/2025 9:47,PR0289,Product289,Electronics,234.76,30.48,163.21,770,0.56,Spring,Sunday,Morning,219.23,0.243,0.167
5/3/2025 23:43,PR0170,Product170,Toys,275.67,33.75,182.63,411,0.62,Winter,Friday,Evening,275.06,0.141,0.107
5/7/2025 16:43,PR0465,Product465,Home & Kitchen,204.22,48.39,105.4,82,0.26,Summer,Wednesday,Evening,185,0.097,0.083
5/22/2025 9:38,PR0111,Product111,Home & Kitchen,918.33,6.08,862.5,522,0.45,Winter,Wednesday,Evening,874.77,0.148,0.153
5/19/2025 8:08,PR0178,Product178,Electronics,177.24,13,154.2,584,0.75,Spring,Saturday,Evening,192.75,0.16,0.182
5/15/2025 19:41,PR0123,Product123,Books,924.87,33.37,616.24,718,0.77,Autumn,Monday,Evening,833.37,0.167,0.073
5/14/2025 11:13,PR0160,Product160,Clothing,735.3,25.44,548.24,122,0.29,Winter,Saturday,Morning,725.43,0.286,0.104
5/4/2025 0:35,PR0041,Product41,Clothing,457.72,28.46,327.45,19,0.22,Summer,Sunday,Evening,472.27,0.232,0.079
5/5/2025 0:59,PR0270,Product270,Clothing,623.06,22.59,482.31,617,0.28,Autumn,Sunday,Morning,652.28,0.105,0.055
5/21/2025 7:19,PR0348,Product348,Home & Kitchen,78.44,36.44,49.86,192,0.38,Winter,Saturday,Morning,81.25,0.296,0.056
5/24/2025 20:19,PR0435,Product435,Clothing,908.93,37.04,572.26,72,0.24,Winter,Thursday,Afternoon,904.48,0.034,0.084
5/15/2025 22:47,PR0375,Product375,Toys,697.18,9.19,633.11,880,0.27,Autumn,Wednesday,Afternoon,659.05,0.092,0.146
5/25/2025 15:31,PR0136,Product136,Electronics,903.33,27.12,658.35,997,0.57,Autumn,Tuesday,Evening,853.44,0.177,0.089
5/4/2025 2:10,PR0205,Product205,Clothing,344.86,0.17,344.27,548,0.38,Summer,Tuesday,Afternoon,365.81,0.218,0.119
4/30/2025 2:52,PR0470,Product470,Home & Kitchen,192.16,27.09,140.1,829,0.84,Spring,Friday,Evening,199.52,0.062,0.178
5/10/2025 23:17,PR0318,Product318,Books,952.6,28.4,682.06,748,0.8,Winter,Tuesday,Night,998.75,0.28,0.11
5/9/2025 7:08,PR0187,Product187,Books,163.76,36.16,104.54,849,0.32,Summer,Saturday,Evening,156.93,0.212,0.131
4/28/2025 22:30,PR0200,Product200,Home & Kitchen,513.71,11.05,456.95,857,0.42,Summer,Monday,Afternoon,543.71,0.126,0.099
5/3/2025 19:25,PR0075,Product75,Books,535.33,4.32,512.2,839,0.17,Winter,Sunday,Evening,557.52,0.121,0.132
5/25/2025 17:56,PR0200,Product200,Electronics,733.75,34.63,479.65,422,0.17,Autumn,Sunday,Night,750.54,0.066,0.146
5/24/2025 6:48,PR0404,Product404,Home & Kitchen,128.68,0.1,128.55,230,0.56,Spring,Monday,Morning,141.01,0.032,0.084
4/26/2025 18:06,PR0024,Product24,Toys,676.4,11.46,598.88,116,0.95,Spring,Friday,Morning,634.59,0.098,0.147
5/8/2025 12:30,PR0229,Product229,Home & Kitchen,269.22,14.34,230.61,434,0.17,Winter,Saturday,Night,277.74,0.018,0.128
5/25/2025 15:34,PR0440,Product440,Books,371.74,30.68,257.69,507,0.24,Winter,Wednesday,Evening,349.11,0.248,0.094
4/30/2025 11:35,PR0263,Product263,Toys,214.28,34.08,141.25,288,0.86,Autumn,Tuesday,Night,224.84,0.055,0.029
5/7/2025 17:53,PR0147,Product147,Clothing,765.04,28.47,547.23,987,0.55,Winter,Saturday,Afternoon,702.58,0.23,0.072
5/23/2025 5:35,PR0063,Product63,Toys,988.31,22.04,770.49,31,0.99,Autumn,Wednesday,Evening,1082.59,0.297,0.13
5/24/2025 4:46,PR0448,Product448,Electronics,209.9,6.96,195.29,9,0.43,Spring,Tuesday,Night,209.65,0.223,0.084
5/17/2025 17:20,PR0004,Product4,Books,967.98,42.5,556.59,293,0.79,Summer,Sunday,Morning,1042.49,0.148,0.179
4/29/2025 20:09,PR0075,Product75,Toys,268.27,20.44,213.44,822,0.99,Winter,Thursday,Morning,264.77,0.159,0.117
5/23/2025 20:50,PR0234,Product234,Clothing,484.66,12.44,424.37,296,0.28,Summer,Monday,Morning,451.88,0.011,0.109
5/8/2025 3:52,PR0204,Product204,Clothing,779.08,26.75,570.68,540,0.14,Autumn,Sunday,Morning,746.7,0.239,0.098
4/28/2025 21:46,PR0171,Product171,Toys,547.15,19.86,438.49,178,0.74,Winter,Wednesday,Afternoon,517.51,0.033,0.033
4/28/2025 18:24,PR0090,Product90,Toys,893.83,37.83,555.69,754,0.75,Winter,Monday,Evening,962.76,0.098,0.013
5/10/2025 22:35,PR0215,Product215,Toys,39.37,13.74,33.96,407,0.88,Summer,Monday,Morning,38.75,0.253,0.103
5/10/2025 20:02,PR0335,Product335,Books,15.87,28.2,11.39,522,0.79,Autumn,Saturday,Night,15.5,0.238,0.04
5/26/2025 5:13,PR0107,Product107,Electronics,741.58,12.02,652.44,598,0.27,Winter,Saturday,Evening,739.53,0.298,0.176
5/13/2025 10:41,PR0253,Product253,Home & Kitchen,31.48,28.66,22.46,700,0.46,Spring,Thursday,Afternoon,33.43,0.069,0.18
5/22/2025 18:04,PR0343,Product343,Home & Kitchen,713.62,3.97,685.29,438,0.31,Spring,Tuesday,Night,777.79,0.056,0.164
5/20/2025 17:15,PR0283,Product283,Toys,238.91,46.52,127.77,335,0.45,Summer,Monday,Night,226.84,0.178,0.087
5/17/2025 23:29,PR0348,Product348,Home & Kitchen,539,41.91,313.11,128,0.84,Winter,Sunday,Morning,488.84,0.237,0.196
4/29/2025 9:34,PR0480,Product480,Clothing,803.85,25.16,601.6,80,0.65,Spring,Sunday,Morning,792.51,0.169,0.094
5/23/2025 17:55,PR0099,Product99,Electronics,538.95,30.73,373.33,887,0.26,Winter,Thursday,Morning,590.23,0.128,0.062
5/17/2025 5:25,PR0262,Product262,Toys,102.24,20,81.79,181,0.69,Spring,Sunday,Morning,104.96,0.08,0.136
5/6/2025 7:15,PR0433,Product433,Toys,388.43,10.95,345.9,944,0.3,Summer,Friday,Evening,398.03,0.247,0.164
5/1/2025 1:04,PR0320,Product320,Electronics,772.09,47.43,405.89,510,0.94,Spring,Saturday,Night,738.05,0.039,0.061
5/25/2025 5:57,PR0070,Product70,Home & Kitchen,800.11,36.04,511.75,958,0.25,Spring,Tuesday,Morning,720.85,0.198,0.175
5/8/2025 0:57,PR0380,Product380,Books,237.64,48.31,122.84,381,0.87,Summer,Tuesday,Night,219.84,0.195,0.164
5/22/2025 8:24,PR0203,Product203,Clothing,269.17,33.17,179.89,517,0.58,Spring,Friday,Night,268.8,0.214,0.084
5/8/2025 12:50,PR0043,Product43,Home & Kitchen,549.73,48.5,283.11,690,0.32,Summer,Saturday,Afternoon,499.46,0.276,0.175
5/22/2025 0:43,PR0108,Product108,Clothing,165.03,23.86,125.65,106,0.35,Summer,Sunday,Evening,167.75,0.028,0.175
5/9/2025 20:31,PR0146,Product146,Home & Kitchen,52.03,43.04,29.64,917,0.37,Summer,Sunday,Morning,55.28,0.123,0.065
5/6/2025 22:32,PR0265,Product265,Books,656.25,9.99,590.69,803,0.76,Winter,Tuesday,Morning,700.77,0.172,0.04
4/27/2025 22:36,PR0146,Product146,Home & Kitchen,730.28,30.12,510.32,110,0.18,Spring,Thursday,Night,711.44,0.094,0.125
5/12/2025 23:33,PR0204,Product204,Electronics,837.06,1.89,821.24,415,0.73,Spring,Friday,Night,857.45,0.158,0.086
5/2/2025 13:58,PR0286,Product286,Electronics,552.28,39.11,336.28,900,0.37,Winter,Thursday,Afternoon,558.68,0.298,0.174
5/2/2025 11:22,PR0355,Product355,Clothing,566.69,11.42,501.97,87,0.57,Spring,Sunday,Afternoon,552.22,0.296,0.096
4/29/2025 6:51,PR0069,Product69,Home & Kitchen,13.62,17.78,11.2,14,0.77,Autumn,Saturday,Afternoon,12.97,0.151,0.195
5/10/2025 17:11,PR0239,Product239,Clothing,531.35,9.5,480.87,217,0.78,Summer,Thursday,Morning,550.56,0.143,0.072
5/6/2025 23:19,PR0236,Product236,Toys,566.26,2.18,553.92,567,0.53,Spring,Monday,Morning,547.57,0.169,0.121
5/20/2025 1:27,PR0328,Product328,Books,325.1,34.3,213.59,645,0.97,Summer,Friday,Evening,350.56,0.236,0.023
5/14/2025 23:29,PR0213,Product213,Clothing,223.23,35.35,144.32,649,0.74,Winter,Tuesday,Afternoon,223.6,0.077,0.165
5/16/2025 2:25,PR0049,Product49,Books,447.84,2.83,435.17,123,0.31,Autumn,Monday,Evening,411.79,0.097,0.115
5/23/2025 10:30,PR0463,Product463,Home & Kitchen,710.37,5.97,667.96,349,0.38,Autumn,Thursday,Morning,685.88,0.158,0.184
5/16/2025 15:58,PR0140,Product140,Clothing,816.06,46.88,433.49,17,0.19,Autumn,Saturday,Morning,851.12,0.023,0.197
5/1/2025 10:50,PR0384,Product384,Toys,267.66,10.31,240.06,384,0.76,Winter,Tuesday,Afternoon,282.53,0.209,0.07
5/13/2025 16:18,PR0215,Product215,Toys,548.57,3.34,530.25,372,0.95,Winter,Saturday,Afternoon,599.8,0.07,0.016
5/13/2025 12:56,PR0078,Product78,Toys,348.52,39.86,209.6,808,0.46,Winter,Monday,Evening,360.41,0.228,0.102
5/5/2025 19:09,PR0470,Product470,Books,768.78,47.46,403.92,620,0.5,Spring,Wednesday,Morning,832.02,0.266,0.059
5/16/2025 15:15,PR0031,Product31,Books,58.55,28.66,41.77,839,0.68,Autumn,Sunday,Evening,62.66,0.201,0.078
5/12/2025 7:19,PR0310,Product310,Clothing,848.47,23.91,645.6,648,0.38,Summer,Thursday,Evening,793.58,0.217,0.187
4/28/2025 17:42,PR0128,Product128,Electronics,452.79,6.13,425.03,119,0.89,Spring,Tuesday,Morning,409.28,0.05,0.017
5/2/2025 7:37,PR0229,Product229,Home & Kitchen,351.53,21.05,277.53,426,0.31,Autumn,Tuesday,Evening,375.42,0.264,0.063
5/13/2025 13:45,PR0112,Product112,Electronics,416.27,1.62,409.53,661,0.86,Spring,Friday,Evening,406.24,0.044,0.054
5/7/2025 15:01,PR0458,Product458,Toys,89.58,16.6,74.71,377,0.69,Autumn,Monday,Night,88.27,0.126,0.082
5/20/2025 2:29,PR0458,Product458,Toys,591.33,13.21,513.22,202,0.54,Winter,Wednesday,Afternoon,629.79,0.175,0.13
5/5/2025 22:36,PR0325,Product325,Clothing,377.94,23.69,288.41,490,0.86,Summer,Monday,Morning,374.52,0.202,0.152
5/18/2025 0:30,PR0426,Product426,Toys,711.65,37.04,448.05,699,0.49,Winter,Sunday,Morning,715.37,0.066,0.075
5/20/2025 13:56,PR0066,Product66,Clothing,532.5,13.96,458.16,215,0.36,Autumn,Thursday,Afternoon,527.36,0.23,0.055
5/23/2025 10:35,PR0458,Product458,Books,269.29,29.8,189.04,921,0.11,Summer,Wednesday,Morning,282.02,0.203,0.126
5/3/2025 10:43,PR0297,Product297,Toys,864.62,44.47,480.12,767,0.92,Autumn,Sunday,Afternoon,920.94,0.211,0.046
5/14/2025 2:02,PR0424,Product424,Books,917.21,36.07,586.37,90,0.15,Autumn,Wednesday,Morning,988.9,0.066,0.039
5/4/2025 19:48,PR0302,Product302,Home & Kitchen,931.34,15.38,788.1,657,0.95,Summer,Monday,Morning,839.86,0.096,0.141
5/13/2025 12:16,PR0463,Product463,Clothing,502.3,48.58,258.28,828,0.29,Summer,Thursday,Afternoon,538.35,0.179,0.147
4/28/2025 23:35,PR0234,Product234,Electronics,880.59,2.03,862.71,233,0.66,Summer,Saturday,Afternoon,953.32,0.147,0.059
5/8/2025 6:05,PR0060,Product60,Toys,407.99,17.11,338.18,771,0.17,Summer,Thursday,Evening,375.15,0.136,0.108
5/21/2025 13:44,PR0403,Product403,Clothing,172.72,14.43,147.8,579,0.35,Summer,Wednesday,Evening,175.9,0.11,0.151
5/23/2025 10:11,PR0463,Product463,Books,101.91,3.4,98.45,104,0.64,Spring,Friday,Afternoon,98.39,0.25,0.051
4/30/2025 19:41,PR0325,Product325,Clothing,208.15,26.71,152.55,662,0.71,Summer,Friday,Afternoon,222.31,0.15,0.092
4/28/2025 6:50,PR0261,Product261,Toys,791.34,4.84,753.04,512,0.78,Winter,Saturday,Evening,803.17,0.086,0.15
5/2/2025 13:16,PR0054,Product54,Toys,141.76,34.06,93.48,634,0.11,Autumn,Friday,Evening,142.83,0.196,0.171
5/12/2025 18:44,PR0329,Product329,Toys,925.38,3.87,889.57,975,0.85,Autumn,Wednesday,Night,897.79,0.065,0.09
5/3/2025 6:16,PR0255,Product255,Books,346.58,7.11,321.94,182,0.87,Summer,Friday,Morning,345.61,0.229,0.031
5/25/2025 14:58,PR0051,Product51,Books,448.7,39.58,271.1,425,0.67,Spring,Monday,Morning,405.11,0.12,0.092
5/8/2025 17:30,PR0373,Product373,Clothing,986.35,43.79,554.43,915,0.91,Winter,Thursday,Evening,1040.68,0.236,0.037
5/12/2025 9:16,PR0116,Product116,Books,78.19,28.23,56.12,331,0.81,Winter,Wednesday,Evening,70.75,0.138,0.049
5/20/2025 1:41,PR0300,Product300,Clothing,221.58,7.8,204.3,512,0.61,Winter,Tuesday,Morning,222.37,0.209,0.144
5/1/2025 9:37,PR0400,Product400,Electronics,741.39,35.17,480.64,11,0.2,Summer,Thursday,Afternoon,670.49,0.143,0.123
5/10/2025 23:24,PR0370,Product370,Electronics,228.46,0.6,227.09,699,0.75,Autumn,Tuesday,Evening,250.08,0.21,0.044
5/7/2025 15:13,PR0319,Product319,Home & Kitchen,466.56,27.76,337.04,605,0.66,Summer,Monday,Afternoon,472.9,0.048,0.199
5/8/2025 5:16,PR0002,Product2,Clothing,42.19,45.75,22.89,623,0.5,Winter,Thursday,Morning,39.83,0.224,0.151
4/30/2025 12:39,PR0476,Product476,Clothing,726.56,9.64,656.52,714,0.56,Autumn,Saturday,Night,756.94,0.035,0.104
5/22/2025 1:56,PR0467,Product467,Toys,80.94,35.61,52.12,544,0.68,Autumn,Monday,Morning,75.13,0.285,0.131
4/26/2025 18:13,PR0469,Product469,Clothing,218.82,21.5,171.77,179,0.35,Spring,Monday,Morning,224.18,0.068,0.121
5/17/2025 11:47,PR0119,Product119,Books,267.84,43.42,151.54,209,0.81,Winter,Monday,Evening,272.37,0.277,0.025
5/14/2025 17:00,PR0030,Product30,Clothing,572.92,26.98,418.35,547,0.76,Winter,Sunday,Evening,589.39,0.119,0.113
5/20/2025 3:59,PR0261,Product261,Electronics,411.85,10.01,370.62,643,0.63,Autumn,Friday,Night,448.62,0.034,0.069
5/17/2025 7:27,PR0478,Product478,Electronics,915.04,38.63,561.56,494,0.69,Summer,Wednesday,Night,854.87,0.272,0.127
5/11/2025 23:54,PR0416,Product416,Clothing,243.14,44.6,134.7,981,0.56,Summer,Friday,Afternoon,239.99,0.284,0.027
5/1/2025 14:48,PR0079,Product79,Electronics,486.59,22,379.54,93,0.65,Spring,Sunday,Afternoon,520.63,0.04,0.19
5/4/2025 11:26,PR0296,Product296,Clothing,176.12,11.36,156.11,802,0.98,Summer,Monday,Night,192.46,0.251,0.138
5/11/2025 1:39,PR0015,Product15,Books,894.7,27.21,651.25,867,0.87,Autumn,Saturday,Morning,932.23,0.024,0.188
4/29/2025 17:19,PR0034,Product34,Toys,526.62,0.43,524.36,51,0.6,Summer,Tuesday,Night,569.53,0.207,0.057
4/26/2025 10:36,PR0280,Product280,Toys,308.19,45.23,168.8,914,0.64,Winter,Tuesday,Night,338.87,0.233,0.183
5/16/2025 8:41,PR0176,Product176,Clothing,981.89,49.37,497.13,335,0.19,Autumn,Monday,Morning,893.4,0.189,0.17
5/7/2025 20:12,PR0453,Product453,Home & Kitchen,891.13,4.59,850.23,111,0.62,Spring,Wednesday,Night,831.1,0.259,0.16
5/23/2025 12:50,PR0097,Product97,Toys,536.61,19.02,434.55,159,0.37,Spring,Monday,Night,491.91,0.196,0.195
5/9/2025 20:35,PR0151,Product151,Books,75.45,6.25,70.73,50,0.14,Summer,Saturday,Afternoon,81.41,0.152,0.138
5/8/2025 2:49,PR0343,Product343,Home & Kitchen,340.48,5.77,320.83,329,0.77,Spring,Sunday,Afternoon,337.07,0.214,0.196
5/16/2025 14:22,PR0320,Product320,Clothing,573.24,35.23,371.29,752,0.74,Spring,Saturday,Evening,554.71,0.239,0.063
5/11/2025 5:10,PR0434,Product434,Books,760.65,12.76,663.59,817,0.88,Summer,Thursday,Night,724.15,0.167,0.055
5/12/2025 18:19,PR0124,Product124,Electronics,632.93,23.34,485.2,761,0.17,Autumn,Monday,Morning,577.91,0.23,0.14
4/29/2025 7:54,PR0109,Product109,Books,484.63,45.93,262.04,764,0.81,Winter,Monday,Night,464.64,0.043,0.033
5/24/2025 22:45,PR0247,Product247,Books,984.8,16.49,822.41,750,0.38,Spring,Friday,Evening,944.75,0.152,0.17
5/8/2025 4:09,PR0413,Product413,Electronics,224.33,31.76,153.08,534,0.95,Winter,Monday,Night,213.74,0.045,0.143
4/28/2025 13:05,PR0135,Product135,Books,900.27,2.75,875.51,408,0.65,Autumn,Saturday,Night,895.87,0.058,0.13
4/27/2025 17:47,PR0095,Product95,Clothing,814.41,10.59,728.16,981,0.92,Autumn,Friday,Night,813.15,0.191,0.125
4/30/2025 15:29,PR0376,Product376,Books,362.85,30.09,253.67,178,0.78,Autumn,Sunday,Evening,334.27,0.163,0.074
5/21/2025 11:09,PR0126,Product126,Home & Kitchen,462.28,49.15,235.07,126,0.8,Summer,Thursday,Afternoon,420.51,0.209,0.178
5/23/2025 10:57,PR0288,Product288,Clothing,860.35,11.02,765.54,138,0.21,Winter,Sunday,Evening,784.41,0.176,0.085
5/16/2025 11:01,PR0343,Product343,Clothing,500.14,21.69,391.66,288,0.88,Winter,Saturday,Night,527.25,0.168,0.074
5/16/2025 6:49,PR0236,Product236,Toys,755.72,1.8,742.12,114,0.23,Summer,Saturday,Afternoon,779.12,0.05,0.183
5/6/2025 7:46,PR0320,Product320,Toys,442.16,4.18,423.68,991,0.43,Autumn,Wednesday,Evening,424.43,0.209,0.053
4/27/2025 18:30,PR0318,Product318,Clothing,708.76,47.38,372.95,555,0.98,Summer,Saturday,Afternoon,770.25,0.204,0.057
5/16/2025 18:27,PR0499,Product499,Books,562.23,19.45,452.88,407,0.16,Summer,Tuesday,Morning,510.64,0.124,0.074
4/28/2025 5:39,PR0020,Product20,Home & Kitchen,286.11,24.68,215.5,855,0.96,Winter,Wednesday,Evening,275.79,0.011,0.116
5/24/2025 21:16,PR0162,Product162,Toys,173.16,1.96,169.77,719,0.53,Autumn,Friday,Evening,160.79,0.227,0.122
4/29/2025 8:38,PR0191,Product191,Books,783.93,45.3,428.81,370,0.97,Winter,Sunday,Night,726.9,0.089,0.107
5/20/2025 12:16,PR0499,Product499,Home & Kitchen,12.38,35.22,8.02,242,0.52,Summer,Thursday,Morning,12.88,0.082,0.138
4/29/2025 15:56,PR0305,Product305,Toys,431.58,24.64,325.24,120,0.24,Summer,Sunday,Night,411.79,0.011,0.07
5/21/2025 23:26,PR0373,Product373,Toys,344.08,36.52,218.42,955,0.42,Autumn,Thursday,Evening,372.82,0.159,0.046
4/29/2025 3:16,PR0052,Product52,Books,246.03,14.91,209.35,816,0.98,Winter,Sunday,Night,264.33,0.203,0.162
5/13/2025 2:43,PR0486,Product486,Home & Kitchen,751.85,46.15,404.87,850,0.22,Autumn,Friday,Night,691.08,0.095,0.143
5/23/2025 3:32,PR0368,Product368,Electronics,937.02,28.2,672.78,511,0.65,Summer,Monday,Evening,956.15,0.211,0.126
5/16/2025 0:04,PR0146,Product146,Electronics,907.02,24.45,685.25,248,0.53,Spring,Monday,Morning,904.23,0.134,0.102
5/25/2025 2:34,PR0193,Product193,Books,417.06,29.48,294.11,956,0.35,Spring,Monday,Night,439.23,0.055,0.158
5/21/2025 20:39,PR0459,Product459,Clothing,662.87,13.86,571,692,0.67,Winter,Monday,Night,668.38,0.093,0.056
5/2/2025 17:11,PR0051,Product51,Books,595.08,36.61,377.22,53,0.33,Summer,Tuesday,Afternoon,640.37,0.06,0.053
5/3/2025 21:01,PR0220,Product220,Electronics,667.17,39.87,401.17,477,0.27,Autumn,Wednesday,Night,640.99,0.165,0.041
4/30/2025 11:51,PR0271,Product271,Books,105.12,49.03,53.58,514,0.72,Summer,Saturday,Afternoon,108.28,0.146,0.011
4/30/2025 21:52,PR0244,Product244,Clothing,661.89,28.42,473.78,584,0.49,Winter,Monday,Afternoon,723.85,0.123,0.176
5/21/2025 10:09,PR0159,Product159,Home & Kitchen,195.53,48.96,99.8,244,0.53,Summer,Friday,Afternoon,178.34,0.038,0.051
5/17/2025 7:06,PR0476,Product476,Toys,565.93,26.53,415.79,743,0.64,Autumn,Monday,Evening,532.23,0.233,0.113
5/12/2025 7:40,PR0019,Product19,Electronics,966.83,16.97,802.76,630,0.22,Summer,Friday,Night,1034.22,0.286,0.183
5/5/2025 5:04,PR0135,Product135,Books,33.94,44.05,18.99,980,0.31,Spring,Tuesday,Afternoon,34.18,0.119,0.119
5/23/2025 8:03,PR0388,Product388,Clothing,977.77,2.78,950.59,83,0.53,Summer,Wednesday,Morning,892.77,0.224,0.126
5/3/2025 7:09,PR0111,Product111,Toys,753.99,49.71,379.18,705,0.83,Autumn,Friday,Afternoon,692.57,0.299,0.055
4/30/2025 18:21,PR0088,Product88,Electronics,236.07,24.61,177.97,579,0.78,Spring,Saturday,Afternoon,230.61,0.194,0.045
5/25/2025 22:29,PR0459,Product459,Clothing,299.91,2.14,293.49,188,0.13,Winter,Sunday,Evening,305.78,0.09,0.132
5/1/2025 1:06,PR0342,Product342,Electronics,643.01,6.56,600.83,960,0.3,Summer,Monday,Afternoon,597.06,0.12,0.093
